Gene,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
APOE,1421,6.227209903795583e-4,0.017559267374527496,6.195234130288251e-7,6.195407616945201e-7,6.196117017387543e-7,6.393338652591093e-7,1.240143955910402e-6,3.1364834500314277e-6,2.8573948758213458e-5,2.8993882369199e-4,0.6409284585676872
CYP2C19,2225,0.0011747789584634438,0.028813479030961056,6.19485034480537e-7,6.195003853292397e-7,6.195234130288251e-7,6.199581900196651e-7,1.2396181975951406e-6,3.721377951828003e-6,4.3990501055007466e-5,7.205993857679308e-4,0.9387019632867242
HLA-B,1682,0.01089548401529589,0.05831798619058276,6.296452075184674e-7,6.334692604566971e-7,7.113674311749553e-7,9.723261407373862e-7,2.183212264531033e-6,9.426743987543945e-6,0.04310766540907396,0.322339539415621,0.780273713376856
